STATION_ID,HYDRO_ID
053230,200110694
053231,600048079
053232,200101637
053233,200101847
053235,
053236,
053237,
053242,600000002
053243,600000002
053250,600000002
053251,600000002
053253,600000002
053254,600000002
053255,600000002
053256,600000002
053257,600000002
053258,600000002
053259,600000002
053260,600000002
053261,600000002
053262,600000002
053263,600000002
053264,600000002
053265,600000002
053269,600000002
053270,600000002
053271,600000002
053272,600000002
053273,600000002
053274,600000002
053275,600000002
053276,600000002
053277,600000002
053278,600000002
053279,600000002
053280,600000002
053281,600000002
053281,600056332
053282,600000002
053283,600000002
053283,600005413
053284,600000002
053285,600000002
053295,
053296,
053297,600000002
053298,600000002
053299,600000002
053300,600000002
053301,600000002
053302,600000002
053303,600000002
053304,600000002
053305,600000002
053306,600000002
053307,600000002
053308,600000002
053308,600091235
053309,600000002
053310,600000002
053311,600060862
053311,600085972
053312,
053316,600000002
053319,600000002
053321,600000002
053324,600000002
053335,600000002
053336,600000002
053350,600000002
053360,600000002
053362,600085972
053367,600000002
053386,600000002
053387,600000002
053387,600060919
053388,600000002
053388,600091235
053389,600000002
053390,600000002
053391,600000002
053392,600000002
053393,600000002
053394,600000002
053395,600000002
053396,600000002
053397,600000002
053397,600071241
053398,600000002
053399,600000002
053400,600000002
053401,
053402,
053403,
053404,
053405,600091235
053406,
053407,
053408,600000002
053409,600000002
053410,600000002
053411,600000002
053411,600020367
053412,600000002
053413,600000002
053414,600000002
053415,600000002
053416,600000002
053417,600000002
053417,600020246
053418,600000002
053419,600000002
053420,600000002
053421,600000002
053421,600090458
053422,600000002
053423,600000002
053424,600000002
053425,600000002
053426,600000002
053427,600000002
053428,600000002
053429,600000002
053430,600000002
053431,600000002
053431,600061780
053432,600000002
053433,600000002
053434,600000002
053435,600000002
053436,600000002
053437,600000002
053438,600000002
053438,600045603
053439,600000002
053440,600000002
053441,600000002
053442,600000002
053443,600000002
053444,600000002
053445,600000002
053446,600000002
053447,600000002
053448,600000002
053449,
053450,600032600
053451,200212484
053451,600044538
053451,600085972
053467,600000002
053468,600000002
053468,600044308
053470,600000002
053470,600085972
053471,200110168
053471,600085972
053472,600085972
053473,600085972
053474,200103806
053474,600085972
053475,
053476,200110168
053476,600085972
053477,600000002
053478,600000002
053479,600000002
053480,600000002
053481,600000002
053481,600032600
053482,600085972
053483,200110168
053483,600085972
053484,200109822
053485,600045781
053486,600085972
053487,600000002
053487,600042767
053488,200116536
053488,600042767
053489,200103168
053489,600028670
053490,600045781
053491,200111698
053491,600045781
053492,200109831
053493,200210870
053494,
053495,200100733
053497,200103825
053497,600032600
053498,200108240
053499,
053500,
053501,
053502,
053503,
053504,
053505,
053506,200095548
053507,200094788
053507,600050450
053508,200094086
053508,600065489
053509,200096240
053510,
053511,200090787
053512,600082769
053512,600085972
053513,600000002
053513,600045603
053514,600000002
053515,200095910
053515,600050064
053516,200106106
053516,600046679
053517,
053518,200099890
053519,
053520,600000002
053522,600085972
053523,600085972
053524,600085972
053525,200103806
053525,600085972
053526,600085972
053527,200092647
053528,
053529,600090817
053530,
053531,600025144
053532,
053533,
053534,200104540
053535,200092647
053536,200095703
053537,200091878
053538,
053539,
053541,200115729
053542,200118195
053543,200117328
053543,600089707
053544,200117397
053544,600042475
053545,200115845
053545,600011482
053546,200115558
053547,200117074
053548,200117352
053549,200099264
053550,200113918
053550,600064011
053551,200115404
053552,600085972
053553,200110168
053553,600085972
053554,200086958
053555,600085972
053556,600085972
053557,200105824
053557,600085972
053558,200111131
053558,600000230
053559,
053560,
053561,200110462
053562,200095804
053563,600000002
053564,600000002
053565,600000002
053566,600000002
053567,600000002
053568,600000002
053569,
053571,
053572,600085972
053573,600085972
053574,600085972
053575,600085972
053575,600089707
053576,600085972
053577,200110168
053577,600085972
053577,600091060
053578,200105824
053578,600085972
053579,600085972
053580,600085972
053581,200105083
053581,600085972
053582,200105083
053582,600085972
053583,200105083
053583,600085972
053584,600085972
053585,600085972
053586,200105083
053586,600085972
053587,600085972
053588,600085972
053591,600085972
053592,600085972
053593,200110168
053593,600085972
053594,200110168
053594,600085972
053594,600124419
053595,600085972
